phrases,tagged_phrases,phrases_for_model,phrases_for_model_index,predicted_class,predicted_class_probabilities,indicator_of_score
a steps,a dt steps nns,"['a', 'dt', 'steps', 'nns']","[27, 4375, 140, 4376]",0,"[0.99723446, 0.0024671257, 0.0002028346]",1
a straight,a dt straight jj,"['a', 'dt', 'straight', 'jj']","[27, 4375, 1876, 4378]",0,"[0.9842653, 0.003826499, 0.0040698946]",0
a stroke,a dt stroke nn,"['a', 'dt', 'stroke', 'nn']","[27, 4375, 380, 4373]",0,"[0.90888065, 0.041955143, 0.009862572]",0
a survey,a dt survey nn,"['a', 'dt', 'survey', 'nn']","[27, 4375, 1727, 4373]",0,"[0.8574059, 0.022604108, 0.018272191]",0
a switch,a dt switch nn,"['a', 'dt', 'switch', 'nn']","[27, 4375, 266, 4373]",0,"[0.90968484, 0.048885524, 0.007049918]",0
a synchronization,a dt synchronization nn,"['a', 'dt', 'synchronization', 'nn']","[27, 4375, 3176, 4373]",0,"[0.9784001, 0.0049864054, 0.0016829073]",0
a temperature,a dt temperature nn,"['a', 'dt', 'temperature', 'nn']","[27, 4375, 265, 4373]",0,"[0.9397592, 0.02216363, 0.008386195]",0
a temporary,a dt temporary jj,"['a', 'dt', 'temporary', 'jj']","[27, 4375, 2525, 4378]",0,"[0.99332845, 0.0018047392, 0.0013361275]",1
a test,a dt test nn,"['a', 'dt', 'test', 'nn']","[27, 4375, 192, 4373]",0,"[0.90595603, 0.06600064, 0.0051493645]",0
a tightened,a dt tightened jj,"['a', 'dt', 'tightened', 'jj']","[27, 4375, 400, 4378]",0,"[0.9936577, 0.002836734, 0.0015933812]",1
a torque,a dt torque nn,"['a', 'dt', 'torque', 'nn']","[27, 4375, 194, 4373]",0,"[0.91040796, 0.04889247, 0.00591588]",0
a true,a dt true jj,"['a', 'dt', 'true', 'jj']","[27, 4375, 3748, 4378]",0,"[0.99787134, 0.0005682707, 0.00034588575]",1
a turn,a dt turn nn,"['a', 'dt', 'turn', 'nn']","[27, 4375, 2379, 4373]",0,"[0.95631516, 0.009016007, 0.003604859]",0
a unable,a dt unable jj,"['a', 'dt', 'unable', 'jj']","[27, 4375, 449, 4378]",0,"[0.99260545, 0.0026994944, 0.0022369623]",1
a unti,a dt unti jj,"['a', 'dt', 'unti', 'jj']","[27, 4375, 2669, 4378]",0,"[0.99782443, 0.00060501695, 0.0003261268]",1
a used,a dt used jj,"['a', 'dt', 'used', 'jj']","[27, 4375, 274, 4378]",0,"[0.9952568, 0.003768444, 0.0006236434]",1
a valve,a dt valve nn,"['a', 'dt', 'valve', 'nn']","[27, 4375, 47, 4373]",0,"[0.29957885, 0.13675198, 0.0095562935]",0
a verified,a dt verified jj,"['a', 'dt', 'verified', 'jj']","[27, 4375, 260, 4378]",0,"[0.9961545, 0.00247401, 0.0006763935]",1
a vfd,a dt vfd nn,"['a', 'dt', 'vfd', 'nn']","[27, 4375, 1440, 4373]",0,"[0.8057908, 0.032313913, 0.026594222]",0
a viscosity,a dt viscosity nn,"['a', 'dt', 'viscosity', 'nn']","[27, 4375, 734, 4373]",0,"[0.8931606, 0.025891304, 0.01967302]",0
a visual,a dt visual jj,"['a', 'dt', 'visual', 'jj']","[27, 4375, 183, 4378]",0,"[0.9973949, 0.0027769506, 0.00018361211]",1
a vms,a dt vms nn,"['a', 'dt', 'vms', 'nn']","[27, 4375, 1937, 4373]",0,"[0.94443965, 0.012304693, 0.005221635]",0
a void,a dt void nn,"['a', 'dt', 'void', 'nn']","[27, 4375, 2282, 4373]",0,"[0.9751037, 0.0057138205, 0.0019858778]",0
a vout,a dt vout nn,"['a', 'dt', 'vout', 'nn']","[27, 4375, 763, 4373]",0,"[0.8804624, 0.026045412, 0.022805423]",0
a warranty,a dt warranty nn,"['a', 'dt', 'warranty', 'nn']","[27, 4375, 1432, 4373]",0,"[0.7741533, 0.03734213, 0.032925904]",0
a washout,a dt washout nn,"['a', 'dt', 'washout', 'nn']","[27, 4375, 2043, 4373]",0,"[0.9459404, 0.0114578605, 0.0047488213]",0
a web,a dt web nn,"['a', 'dt', 'web', 'nn']","[27, 4375, 3177, 4373]",0,"[0.976527, 0.005257845, 0.0018285513]",0
a week,a dt week nn,"['a', 'dt', 'week', 'nn']","[27, 4375, 1038, 4373]",0,"[0.85856336, 0.028060287, 0.025703251]",0
a window,a dt window nn,"['a', 'dt', 'window', 'nn']","[27, 4375, 1151, 4373]",0,"[0.81437814, 0.035081923, 0.030444443]",0
a wire,a dt wire nn,"['a', 'dt', 'wire', 'nn']","[27, 4375, 270, 4373]",0,"[0.9310454, 0.035562813, 0.0063173473]",0
a x,a dt x nn,"['a', 'dt', 'x', 'nn']","[27, 4375, 310, 4373]",0,"[0.85159904, 0.029327303, 0.012912989]",0
a year,a dt year nn,"['a', 'dt', 'year', 'nn']","[27, 4375, 727, 4373]",0,"[0.8946955, 0.029953003, 0.016781837]",0
a yearly,a dt yearly jj,"['a', 'dt', 'yearly', 'jj']","[27, 4375, 2404, 4378]",0,"[0.99489534, 0.0014699996, 0.00088360906]",1
aare positioned,aare nn positioned vbd,"['aare', 'nn', 'positioned', 'vbd']","[3329, 4373, 1092, 4380]",2,"[0.009798825, 0.012626082, 0.9713]",0
ability,ability nn,"['ability', 'nn']","[4350, 4373]",2,"[0.026153266, 0.05664742, 0.92524976]",0
able,able jj,"['able', 'jj']","[572, 4378]",2,"[0.021526784, 0.10302845, 0.8552302]",0
abnormal,abnormal jj,"['abnormal', 'jj']","[124, 4378]",2,"[0.20987245, 0.051699013, 0.32410097]",0
abnormalities,abnormalities nns,"['abnormalities', 'nns']","[300, 4376]",1,"[0.068187505, 0.2998817, 0.23258072]",0
about abnormal noise,about in_pos abnormal jj noise nn,"['about', 'in_pos', 'abnormal', 'jj', 'noise', 'nn']","[715, 4374, 124, 4378, 262, 4373]",0,"[0.9169837, 9.045591e-05, 0.36373055]",0
about in liner,about rb in in_pos liner nn,"['about', 'rb', 'in', 'in_pos', 'liner', 'nn']","[715, 4371, 5, 4374, 20, 4373]",1,"[0.015414506, 0.8682409, 0.046451718]",0
absorbent,absorbent nn,"['absorbent', 'nn']","[2618, 4373]",2,"[0.04203987, 0.038454056, 0.8942178]",0
ac,ac nn,"['ac', 'nn']","[1805, 4373]",2,"[0.014199197, 0.076039106, 0.93735045]",0
acceptable,acceptable jj,"['acceptable', 'jj']","[224, 4378]",1,"[0.061546862, 0.33917588, 0.3304052]",0
accepted,accepted jj,"['accepted', 'jj']","[2971, 4378]",2,"[0.1056844, 0.016948998, 0.772491]",0
access,access nn,"['access', 'nn']","[796, 4373]",2,"[0.008662671, 0.059291035, 0.94954014]",0
accessible,accessible jj,"['accessible', 'jj']","[3739, 4378]",2,"[0.10224995, 0.01732856, 0.77917546]",0
accident,accident nn,"['accident', 'nn']","[3761, 4373]",2,"[0.044529736, 0.03587082, 0.8893786]",0
accidentally pressed,accidentally rb pressed vbn,"['accidentally', 'rb', 'pressed', 'vbn']","[2625, 4371, 2626, 4372]",0,"[0.8617041, 0.015455961, 0.06277332]",0
accordance,accordance nn,"['accordance', 'nn']","[1329, 4373]",2,"[0.01172781, 0.07643935, 0.9394809]",0
according,according vbg,"['according', 'vbg']","[1033, 4388]",2,"[0.013429135, 0.09748867, 0.87495565]",0
account,account nn,"['account', 'nn']","[2293, 4373]",2,"[0.03912717, 0.042290628, 0.8998424]",0
accounting,accounting nn,"['accounting', 'nn']","[1835, 4373]",2,"[0.018437862, 0.071902335, 0.93497753]",0
acct,acct nn,"['acct', 'nn']","[4304, 4373]",2,"[0.036547124, 0.04312721, 0.90605944]",0
accumulated,accumulated vbn,"['accumulated', 'vbn']","[1202, 4372]",2,"[0.20002139, 0.14606184, 0.60246736]",0
accumulator,accumulator nn,"['accumulator', 'nn']","[1404, 4373]",2,"[0.0113814175, 0.07636729, 0.93995357]",0
accumulators,accumulators nns,"['accumulators', 'nns']","[672, 4376]",2,"[0.059934616, 0.062158406, 0.73807144]",0
accuracy,accuracy nn,"['accuracy', 'nn']","[731, 4373]",2,"[0.010445952, 0.05974132, 0.9406085]",0
accurately hp,accurately rb hp nn,"['accurately', 'rb', 'hp', 'nn']","[2903, 4371, 702, 4373]",0,"[0.9652375, 0.0008252561, 0.030449003]",0
achieved,achieved vbn,"['achieved', 'vbn']","[1187, 4372]",2,"[0.22375333, 0.16423729, 0.5587287]",0
acquired,acquired vbn,"['acquired', 'vbn']","[2553, 4372]",2,"[0.32732642, 0.06951049, 0.5075295]",0
across lube oil,across in_pos lube jj oil nn,"['across', 'in_pos', 'lube', 'jj', 'oil', 'nn']","[463, 4374, 29, 4378, 9, 4373]",0,"[0.9991082, 0.0025832057, 4.92424e-05]",1
act,act nn,"['act', 'nn']","[1308, 4373]",2,"[0.010496646, 0.07426378, 0.9411335]",0
act v,act nn v nn,"['act', 'nn', 'v', 'nn']","[1308, 4373, 517, 4373]",0,"[0.68325204, 0.013446242, 0.2647516]",0
action,action nn,"['action', 'nn']","[456, 4373]",2,"[0.012042403, 0.06591052, 0.926544]",0
actions,actions nns,"['actions', 'nns']","[3858, 4376]",2,"[0.045425892, 0.035896033, 0.8360979]",0
activated,activated vbn,"['activated', 'vbn']","[1341, 4372]",2,"[0.19542345, 0.14694497, 0.6104488]",0
active,active jj,"['active', 'jj']","[1200, 4378]",2,"[0.018949866, 0.08039662, 0.9244062]",0
actual,actual jj,"['actual', 'jj']","[2384, 4378]",2,"[0.039533764, 0.048732996, 0.8908745]",0
ad,ad nn,"['ad', 'nn']","[1806, 4373]",2,"[0.01374045, 0.081460774, 0.9350265]",0
adapter,adapter nn,"['adapter', 'nn']","[550, 4373]",2,"[0.0029385686, 0.061565936, 0.9517342]",0
adapter recieved,adapter nn recieved vbd,"['adapter', 'nn', 'recieved', 'vbd']","[550, 4373, 451, 4380]",2,"[0.0006990433, 0.15460354, 0.86880136]",0
adapters,adapters nns,"['adapters', 'nns']","[1391, 4376]",2,"[0.045806497, 0.050751507, 0.8262572]",0
adaptor,adaptor nn,"['adaptor', 'nn']","[2945, 4373]",2,"[0.033501685, 0.0481686, 0.910651]",0
adaptors,adaptors nns,"['adaptors', 'nns']","[2961, 4376]",2,"[0.04505685, 0.030375332, 0.8409101]",0
add,add vb,"['add', 'vb']","[485, 4383]",1,"[0.016484946, 0.5225848, 0.4505231]",0
added,added vbd,"['added', 'vbd']","[307, 4380]",2,"[0.007129103, 0.2680419, 0.66924256]",0
adding,adding vbg,"['adding', 'vbg']","[1827, 4388]",2,"[0.017614365, 0.061867654, 0.91460764]",0
addition,addition nn,"['addition', 'nn']","[1457, 4373]",2,"[0.010855466, 0.075796515, 0.94039387]",0
additional,additional jj,"['additional', 'jj']","[439, 4378]",2,"[0.010406822, 0.11099166, 0.8698951]",0
additive,additive jj,"['additive', 'jj']","[676, 4378]",2,"[0.018426329, 0.08121094, 0.90934956]",0
addressed,addressed vbn,"['addressed', 'vbn']","[1294, 4372]",2,"[0.21603844, 0.1635929, 0.568392]",0
adequate,adequate nn,"['adequate', 'nn']","[1188, 4373]",2,"[0.010726392, 0.072432876, 0.94249046]",0
adhoc,adhoc nn,"['adhoc', 'nn']","[2701, 4373]",2,"[0.044695735, 0.036823153, 0.8887855]",0
adi,adi nn,"['adi', 'nn']","[2031, 4373]",2,"[0.020039469, 0.065676, 0.9341445]",0
adjsuted,adjsuted vbn,"['adjsuted', 'vbn']","[2809, 4372]",2,"[0.39953482, 0.028983712, 0.47258493]",0
adjust,adjust nn,"['adjust', 'nn']","[1435, 4373]",2,"[0.011827797, 0.0805206, 0.93708014]",0
adjustable,adjustable jj,"['adjustable', 'jj']","[3813, 4378]",2,"[0.10416454, 0.016006708, 0.77963674]",0
adjusted,adjusted vbn,"['adjusted', 'vbn']","[408, 4372]",0,"[0.38256285, 0.19480264, 0.24592665]",0
adjuster,adjuster nn,"['adjuster', 'nn']","[2408, 4373]",2,"[0.021407783, 0.06372824, 0.9323189]",0
adjusting,adjusting vbg,"['adjusting', 'vbg']","[2136, 4388]",2,"[0.01799789, 0.047661066, 0.93641186]",0
adjustment,adjustment nn,"['adjustment', 'nn']","[730, 4373]",2,"[0.009971559, 0.06485206, 0.94318783]",0
adjustments,adjustments nns,"['adjustments', 'nns']","[2451, 4376]",2,"[0.04389295, 0.036174, 0.84171164]",0
adn attached,adn nn attached vbd,"['adn', 'nn', 'attached', 'vbd']","[4069, 4373, 121, 4380]",2,"[0.004414946, 0.005397588, 0.96409476]",0
advantage,advantage nn,"['advantage', 'nn']","[2702, 4373]",2,"[0.030559748, 0.050639898, 0.9172395]",0
adverse,adverse nn,"['adverse', 'nn']","[4231, 4373]",2,"[0.03949091, 0.040383667, 0.90047663]",0
advise,advise nn,"['advise', 'nn']","[1462, 4373]",2,"[0.015733302, 0.07420212, 0.93678993]",0
advised,advised vbn,"['advised', 'vbn']","[3537, 4372]",2,"[0.37252563, 0.04700452, 0.47510582]",0
ae,ae nn,"['ae', 'nn']","[1946, 4373]",2,"[0.019369066, 0.066188276, 0.93571913]",0
afew,afew nn,"['afew', 'nn']","[3948, 4373]",2,"[0.026416242, 0.0542157, 0.9251573]",0
affair,affair nn,"['affair', 'nn']","[3528, 4373]",2,"[0.028275847, 0.052945554, 0.92197835]",0
aft,aft nn,"['aft', 'nn']","[1131, 4373]",2,"[0.010849714, 0.07211208, 0.94235706]",0
after adjust mm,after in_pos adjust jj mm nn,"['after', 'in_pos', 'adjust', 'jj', 'mm', 'nn']","[206, 4374, 1435, 4378, 428, 4373]",0,"[0.98535025, 0.0010160506, 0.017011374]",0
after few minute,after in_pos few jj minute nn,"['after', 'in_pos', 'few', 'jj', 'minute', 'nn']","[206, 4374, 774, 4378, 1477, 4373]",0,"[0.99316734, 0.0024479926, 0.005904317]",1
after fluid end,after in_pos fluid jj end nn,"['after', 'in_pos', 'fluid', 'jj', 'end', 'nn']","[206, 4374, 58, 4378, 46, 4373]",0,"[0.79424, 2.5093846e-05, 0.6702902]",0
after mpi inspection,after in_pos mpi jj inspection nn,"['after', 'in_pos', 'mpi', 'jj', 'inspection', 'nn']","[206, 4374, 557, 4378, 35, 4373]",0,"[0.9643879, 0.005740732, 0.016105652]",0
after ndt inspection,after in_pos ndt dt inspection nn,"['after', 'in_pos', 'ndt', 'dt', 'inspection', 'nn']","[206, 4374, 217, 4375, 35, 4373]",0,"[0.9194269, 0.22239417, 0.00035330653]",0
after rod replacement,after in_pos rod jj replacement nn,"['after', 'in_pos', 'rod', 'jj', 'replacement', 'nn']","[206, 4374, 53, 4378, 420, 4373]",0,"[0.9822155, 0.0002220571, 0.06276679]",0
aftermarket,aftermarket nn,"['aftermarket', 'nn']","[2348, 4373]",2,"[0.023097932, 0.061890036, 0.92959225]",0
afterward cleaned,afterward rb cleaned vbd,"['afterward', 'rb', 'cleaned', 'vbd']","[2895, 4371, 75, 4380]",2,"[0.034276515, 0.004736066, 0.69442904]",0
again as drill,again rb as in_pos drill nn,"['again', 'rb', 'as', 'in_pos', 'drill', 'nn']","[425, 4371, 32, 4374, 322, 4373]",1,"[0.025875777, 0.72134733, 0.15742865]",0
again at eow,again rb at in_pos eow nn,"['again', 'rb', 'at', 'in_pos', 'eow', 'nn']","[425, 4371, 16, 4374, 1604, 4373]",1,"[0.12998238, 0.43196633, 0.04524955]",0
again discharge,again rb discharge nn,"['again', 'rb', 'discharge', 'nn']","[425, 4371, 64, 4373]",0,"[0.8123119, 0.015133262, 0.06592277]",0
again drive,again rb drive nn,"['again', 'rb', 'drive', 'nn']","[425, 4371, 117, 4373]",0,"[0.8512397, 0.0098006725, 0.06114003]",0
again during operation,again rb during in_pos operation nn,"['again', 'rb', 'during', 'in_pos', 'operation', 'nn']","[425, 4371, 108, 4374, 173, 4373]",1,"[0.028012097, 0.68885833, 0.14810425]",0
again isolated,again rb isolated jj,"['again', 'rb', 'isolated', 'jj']","[425, 4371, 229, 4378]",0,"[0.99798113, 0.0008150041, 0.0010076463]",1
again measured,again rb measured vbn,"['again', 'rb', 'measured', 'vbn']","[425, 4371, 549, 4372]",0,"[0.8373202, 0.063167274, 0.06341565]",0
again new,again rb new jj,"['again', 'rb', 'new', 'jj']","[425, 4371, 61, 4378]",0,"[0.99804366, 0.0021947324, 0.000323236]",1
again taken,again rb taken vbn,"['again', 'rb', 'taken', 'vbn']","[425, 4371, 242, 4372]",0,"[0.83730406, 0.18734589, 0.009818643]",0
against nov mud,against in_pos nov jj mud nn,"['against', 'in_pos', 'nov', 'jj', 'mud', 'nn']","[468, 4374, 141, 4378, 13, 4373]",0,"[0.9819658, 0.015521705, 0.0029722452]",0
against nov pa,against in_pos nov jj pa nn,"['against', 'in_pos', 'nov', 'jj', 'pa', 'nn']","[468, 4374, 141, 4378, 295, 4373]",0,"[0.9922342, 0.003955841, 0.0051391423]",1
against nov tco,against in_pos nov jj tco nn,"['against', 'in_pos', 'nov', 'jj', 'tco', 'nn']","[468, 4374, 141, 4378, 422, 4373]",0,"[0.9938037, 0.0028147101, 0.005239457]",1
agreed,agreed vbd,"['agreed', 'vbd']","[2138, 4380]",2,"[0.016670734, 0.09665182, 0.91826564]",0
agreement,agreement nn,"['agreement', 'nn']","[1068, 4373]",2,"[0.010324538, 0.072372705, 0.94232404]",0
agreemnet,agreemnet nn,"['agreemnet', 'nn']","[2767, 4373]",2,"[0.047860354, 0.03341192, 0.88402724]",0
agrement,agrement nn,"['agrement', 'nn']","[2773, 4373]",2,"[0.051114857, 0.03146574, 0.87790513]",0
aimed,aimed vbn,"['aimed', 'vbn']","[3688, 4372]",2,"[0.38259843, 0.047233462, 0.46305797]",0
air,air nn,"['air', 'nn']","[409, 4373]",2,"[0.0061990023, 0.056777, 0.9470726]",0
aka,aka nn,"['aka', 'nn']","[1959, 4373]",2,"[0.015874386, 0.07453945, 0.9362916]",0
al,al nn,"['al', 'nn']","[1969, 4373]",2,"[0.018357188, 0.067879796, 0.9366561]",0
alarm,alarm nn,"['alarm', 'nn']","[708, 4373]",2,"[0.0095745325, 0.06542429, 0.9428662]",0
alarms,alarms nns,"['alarms', 'nns']","[1077, 4376]",2,"[0.048889667, 0.050012916, 0.81440556]",0
alarmthe,alarmthe nn,"['alarmthe', 'nn']","[3732, 4373]",2,"[0.034897685, 0.045276344, 0.90897024]",0
alen,alen nn,"['alen', 'nn']","[2066, 4373]",2,"[0.023321688, 0.061220556, 0.929286]",0
alex,alex nn,"['alex', 'nn']","[2973, 4373]",2,"[0.034191936, 0.046914548, 0.9094386]",0
aligned,aligned vbn,"['aligned', 'vbn']","[815, 4372]",2,"[0.25344938, 0.15299705, 0.51478964]",0
alignment,alignment nn,"['alignment', 'nn']","[893, 4373]",2,"[0.009746194, 0.06212324, 0.94737613]",0
alignments,alignments nns,"['alignments', 'nns']","[3788, 4376]",2,"[0.04363355, 0.03491786, 0.8421744]",0
all acceptable,all dt acceptable jj,"['all', 'dt', 'acceptable', 'jj']","[10, 4375, 224, 4378]",0,"[0.99907464, 0.00019410253, 0.00025480986]",1
all access,all dt access nn,"['all', 'dt', 'access', 'nn']","[10, 4375, 796, 4373]",0,"[0.9385645, 0.0011793971, 0.022639513]",0
all alemites,all dt alemites nns,"['all', 'dt', 'alemites', 'nns']","[10, 4375, 4203, 4376]",0,"[0.99974597, 2.121631e-05, 3.6729816e-05]",1
all allen,all dt allen nn,"['all', 'dt', 'allen', 'nn']","[10, 4375, 2277, 4373]",0,"[0.9857572, 0.00046110153, 0.0054090023]",0
all alrms,all dt alrms nns,"['all', 'dt', 'alrms', 'nns']","[10, 4375, 3924, 4376]",0,"[0.9995325, 3.5309484e-05, 7.943505e-05]",1
all applicable,all dt applicable jj,"['all', 'dt', 'applicable', 'jj']","[10, 4375, 308, 4378]",0,"[0.99801624, 0.00021606684, 0.00088873506]",1
all approvals,all dt approvals nns,"['all', 'dt', 'approvals', 'nns']","[10, 4375, 3259, 4376]",0,"[0.99947757, 3.9153427e-05, 8.735556e-05]",1
all areas,all dt areas nns,"['all', 'dt', 'areas', 'nns']","[10, 4375, 603, 4376]",0,"[0.9982451, 5.6788947e-05, 0.0005726814]",1
all aspects,all dt aspects nns,"['all', 'dt', 'aspects', 'nns']","[10, 4375, 3579, 4376]",0,"[0.9995458, 3.5002875e-05, 7.4791395e-05]",1
all associated,all dt associated vbd,"['all', 'dt', 'associated', 'vbd']","[10, 4375, 936, 4380]",2,"[0.047623277, 0.0028671026, 0.89675784]",0
all auxiliary,all dt auxiliary jj,"['all', 'dt', 'auxiliary', 'jj']","[10, 4375, 1342, 4378]",0,"[0.9917389, 0.00050097704, 0.0032207668]",1
all auxillary,all dt auxillary jj,"['all', 'dt', 'auxillary', 'jj']","[10, 4375, 2257, 4378]",0,"[0.99920523, 6.871404e-05, 0.00022432208]",1
all auxilliarys,all dt auxilliarys nn,"['all', 'dt', 'auxilliarys', 'nn']","[10, 4375, 4240, 4373]",0,"[0.99851686, 7.4076925e-05, 0.0005120635]",1
all bays,all dt bays nns,"['all', 'dt', 'bays', 'nns']","[10, 4375, 632, 4376]",0,"[0.99824214, 6.1487175e-05, 0.0005580187]",1
all beams,all dt beams nns,"['all', 'dt', 'beams', 'nns']","[10, 4375, 3125, 4376]",0,"[0.99955404, 3.4544606e-05, 7.3203286e-05]",1
all bearing,all dt bearing nn,"['all', 'dt', 'bearing', 'nn']","[10, 4375, 48, 4373]",2,"[0.26382515, 8.58869e-05, 0.7706417]",0
all bearings,all dt bearings nns,"['all', 'dt', 'bearings', 'nns']","[10, 4375, 107, 4376]",0,"[0.99810195, 2.9668927e-05, 0.0009171963]",1
all belts,all dt belts nns,"['all', 'dt', 'belts', 'nns']","[10, 4375, 137, 4376]",0,"[0.9986721, 5.397878e-05, 0.00042045116]",1
all blackjac,all dt blackjac nn,"['all', 'dt', 'blackjac', 'nn']","[10, 4375, 4075, 4373]",0,"[0.99699754, 0.00013527274, 0.0010572374]",1
all blackjack,all dt blackjack nn,"['all', 'dt', 'blackjack', 'nn']","[10, 4375, 2419, 4373]",0,"[0.9870775, 0.0004388392, 0.0049135685]",0
all blakjak,all dt blakjak nn,"['all', 'dt', 'blakjak', 'nn']","[10, 4375, 617, 4373]",0,"[0.9533644, 0.0012118518, 0.017117083]",0
all blots,all dt blots nns,"['all', 'dt', 'blots', 'nns']","[10, 4375, 4340, 4376]",0,"[0.99965024, 2.7800737e-05, 5.522645e-05]",1
all bolts,all dt bolts nns,"['all', 'dt', 'bolts', 'nns']","[10, 4375, 44, 4376]",0,"[0.96749055, 2.6014706e-05, 0.01573646]",0
all breathers,all dt breathers nns,"['all', 'dt', 'breathers', 'nns']","[10, 4375, 737, 4376]",0,"[0.99796194, 7.3185765e-05, 0.0005233884]",1
all bull,all dt bull nn,"['all', 'dt', 'bull', 'nn']","[10, 4375, 450, 4373]",0,"[0.96769106, 0.0010403395, 0.012916893]",0
all cap,all dt cap nn,"['all', 'dt', 'cap', 'nn']","[10, 4375, 170, 4373]",0,"[0.9827776, 0.0022720695, 0.004195422]",0
all certifications,all dt certifications nns,"['all', 'dt', 'certifications', 'nns']","[10, 4375, 3041, 4376]",0,"[0.99953115, 3.4934044e-05, 7.909338e-05]",1
all charge,all dt charge nn,"['all', 'dt', 'charge', 'nn']","[10, 4375, 211, 4373]",0,"[0.9874651, 0.0013740659, 0.003707707]",0
all checks,all dt checks nns,"['all', 'dt', 'checks', 'nns']","[10, 4375, 220, 4376]",0,"[0.99920404, 4.3414635e-05, 0.00028550625]",1
all choke,all dt choke vbd,"['all', 'dt', 'choke', 'vbd']","[10, 4375, 1597, 4380]",2,"[0.04448247, 0.0023849607, 0.92765296]",0
all clamps,all dt clamps nns,"['all', 'dt', 'clamps', 'nns']","[10, 4375, 426, 4376]",0,"[0.99787617, 4.888669e-05, 0.0008366108]",1
all clean,all dt clean jj,"['all', 'dt', 'clean', 'jj']","[10, 4375, 198, 4378]",0,"[0.99759567, 0.000261724, 0.0010651648]",1
all closed,all dt closed vbd,"['all', 'dt', 'closed', 'vbd']","[10, 4375, 182, 4380]",0,"[0.4301626, 0.028220445, 0.087704]",0
all closing,all dt closing nn,"['all', 'dt', 'closing', 'nn']","[10, 4375, 679, 4373]",0,"[0.94157636, 0.0012269318, 0.021546334]",0
all coffins,all dt coffins nns,"['all', 'dt', 'coffins', 'nns']","[10, 4375, 2421, 4376]",0,"[0.99888974, 6.7220804e-05, 0.00021460652]",1
all componenets,all dt componenets nns,"['all', 'dt', 'componenets', 'nns']","[10, 4375, 1543, 4376]",0,"[0.997879, 9.2429764e-05, 0.00046369433]",1
all components,all dt components nns,"['all', 'dt', 'components', 'nns']","[10, 4375, 302, 4376]",0,"[0.9985148, 5.0939037e-05, 0.00053846836]",1
all componets,all dt componets nns,"['all', 'dt', 'componets', 'nns']","[10, 4375, 2071, 4376]",0,"[0.9990988, 6.325322e-05, 0.00016528368]",1
all correct,all dt correct vbp,"['all', 'dt', 'correct', 'vbp']","[10, 4375, 132, 4381]",0,"[0.99657875, 4.637468e-05, 0.00346151]",1
all corrosion,all dt corrosion nn,"['all', 'dt', 'corrosion', 'nn']","[10, 4375, 96, 4373]",0,"[0.9854931, 0.00070661306, 0.005944431]",0
all coupling,all dt coupling nn,"['all', 'dt', 'coupling', 'nn']","[10, 4375, 136, 4373]",0,"[0.9915211, 0.0010122061, 0.0024783611]",1
all couplings,all dt couplings nns,"['all', 'dt', 'couplings', 'nns']","[10, 4375, 367, 4376]",0,"[0.99818933, 4.9238595e-05, 0.00072973967]",1
all cover,all dt cover nn,"['all', 'dt', 'cover', 'nn']","[10, 4375, 88, 4373]",0,"[0.97651124, 0.0023458302, 0.004209399]",0
all covers,all dt covers nns,"['all', 'dt', 'covers', 'nns']","[10, 4375, 86, 4376]",0,"[0.9990412, 4.737971e-05, 0.00032931566]",1
all cranes,all dt cranes nns,"['all', 'dt', 'cranes', 'nns']","[10, 4375, 2938, 4376]",0,"[0.9996332, 2.8737579e-05, 5.765646e-05]",1
