,extracted_date,JOBNUM,JOB_DEC_INST_TEXT_COMB_x,AVA_score_pred_khat,AVA_score_pred_khat_bayes,AVA_score_pred_pmi,AVA_class_pred_khat,AVA_class_pred_khat_bayes,AVA_class_pred_pmi,AVA_score_pred_khat_with_negation,AVA_score_pred_khat_bayes_with_negation,AVA_score_pred_pmi_with_negation,AVA_class_pred_khat_with_negation,AVA_class_pred_khat_bayes_with_negation,AVA_class_pred_pmi_with_negation,pred_khat_ava_array_with_neg,pred_khat_bayes_ava_array_with_neg,pred_pmi_ava_array_with_neg,pred_khat_ava_array,pred_khat_bayes_ava_array,pred_pmi_ava_array,JobType,NOV Random Rig Code,SYSTEM,COMPONENT,JOB_DEC_INST_TEXT_COMB_y,Negation_Scope_Processed,Need Repair 3,Repaired as good as new 1,Working fine 2,Combined Labels,JobSchedDate,JobStartDate,JobClosedDate,DatePurchased,DeactivationDate,date_diff_extract_minus_start,number_of_positive,number_of_negative,number_of_neutral,combined_neu_pos_neg,sentence_lenght,AVA_class_pred_pmi_with_negation_numeric,AVA_class_pred_khat_bayes_with_negation_numeric,AVA_class_pred_khat_with_negation_numeric,AVA_class_pred_pmi_numeric,AVA_class_pred_khat_bayes_numeric,AVA_class_pred_khat_numeric
143,2017-06-20 22:00:00,2220014164613," Checked all fluid end no leaks.Was perfomed visually inspect suction and discharge manifolds no corrosion cracks washouts damage.Checked discharge and suction modules no founded any movement.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.5996, 1.5773, 1.3231]","[1.574, 1.5708, 1.3552]","[246.8427, -110.8946, -131.4481]",neutral,neutral,neutral,"[1.5922, 1.5314, 1.3764]","[1.5697, 1.5272, 1.4031]","[246.8427, -110.8946, -131.4481]",neutral,neutral,neutral,"[-0.06699237076236891, 0.11746130873354489, -0.12974823541577346]","[-0.05448767274221276, 0.08481234409427844, -0.10892280202565567]","[-248.51172445115722, 242.1736230474004, -23.722597752774632]","[-0.06633940526035316, 0.1328579102381732, -0.2209264004414585]","[-0.05037837453139279, 0.09763663377359157, -0.19200922910056814]","[-248.51172445115722, 242.1736230474004, -23.722597752774632]",Prevent Maint,8060,HPMS,FEND," Checked all fluid end no leaks.Was perfomed visually inspect suction and discharge manifolds no corrosion cracks washouts damage.Checked discharge and suction modules no founded any movement.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",suction modules no founded any movement. checked all_fluid end no leaks. ,,,1.0,2,6/20/2017 0:00,6/20/2017 21:50,6/20/2017 22:00,7/4/2009 0:00,,0 days 00:10:21,0,7,9,"[9, 0, 7]",67,2,2,2,2,2,2
146,2017-06-26 08:00:00,2220014164922," During the week Pumpman and Derrickman inspected the mud pumps while they were running. One gauge of mp#2 was not working and reported. Actions to change it are being taken. No abnormal noise vibration or temperature was noticed.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.5741, 1.48, 1.4458]","[1.5582, 1.4725, 1.4693]","[218.9035, -96.5162, -117.8873]",neutral,neutral,neutral,"[1.5748, 1.4626, 1.4625]","[1.5584, 1.4565, 1.4851]","[218.9035, -96.5162, -117.8873]",neutral,negative,neutral,"[-0.05600413151581321, 0.0936709679289916, 0.018743860222966948]","[-0.05051492611434994, 0.0663208365020993, 0.03657162661365346]","[-231.35362619785758, 203.45335388030446, -35.321247196699055]","[-0.05275669772618158, 0.09549055962973113, -0.012855490039005433]","[-0.04499302444179319, 0.07146772876363418, 0.010071057155077914]","[-231.35362619785758, 203.45335388030446, -35.321247196699055]",Prevent Maint,8060,HPMS,FEND," During the week Pumpman and Derrickman inspected the mud pumps while they were running. One gauge of mp#2 was not working and reported. Actions to change it are being taken. No abnormal noise vibration or temperature was noticed.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",no abnormal noise vibration or temperature was noticed. one gauge of mp was not working. ,,,1.0,2,6/27/2017 0:00,6/26/2017 7:55,6/26/2017 8:00,7/4/2009 0:00,,0 days 00:05:56,0,8,5,"[5, 0, 8]",80,2,3,2,2,2,2
147,2017-06-28 03:25:00,2220014165004, Equipment is out of Service Isolated MP#3 to perform repair; change out discharge module.----------Ranganathan J D . Change out Discharge module Mud Pump 3. Remove and replace Mud Pump #3 Port discharge module.,"[1.4313, 1.4017, 1.667]","[1.4286, 1.4134, 1.658]","[8.2918, -9.3415, 5.5497]",negative,negative,negative,"[1.4272, 1.3745, 1.6983]","[1.4249, 1.3825, 1.6926]","[8.2918, -9.3415, 5.5497]",negative,negative,negative,"[0.0477153058917994, -0.09782189299159617, 0.2987641859837658]","[0.0522895214228247, -0.09782189299159633, 0.287311796548991]","[-18.211669163716863, -4.628034371880208, 3.4714071700658193]","[0.039493172319146175, -0.0978218929955628, 0.23610505616413696]","[0.04494513165531825, -0.09782189299556403, 0.21814075712202058]","[-18.211669163716863, -4.628034371880208, 3.4714071700658193]",Corrective,8060,HPMS,FEND, Equipment is out of Service Isolated MP#3 to perform repair; change out discharge module.----------Ranganathan J D . Change out Discharge module Mud Pump 3. Remove and replace Mud Pump #3 Port discharge module.,,1.0,,,3,6/28/2017 0:00,6/27/2017 18:10,7/5/2017 9:57,7/4/2009 0:00,,0 days 09:15:57,1,5,0,"[0, 1, 5]",30,3,3,3,3,3,3
151,2017-06-30 08:15:00,2220014165112," Piston Changed and take advantage and inspection all modules soul change seat and valve discharge module 1 and 2. Mud Pump 1. We change piston center, take advantage and inspection all modules. soul we have to change seat and valve from module discharge 1 and 2, and all seals.","[1.4638, 1.4777, 1.5585]","[1.4606, 1.4759, 1.5635]","[46.0077, -22.7718, -18.7359]",positive,positive,negative,"[1.465, 1.507, 1.528]","[1.4613, 1.5008, 1.5379]","[46.0077, -22.7718, -18.7359]",positive,positive,negative,"[0.04751268640465961, -0.022558282860423787, 0.033537266732247814]","[0.047512686404659187, -0.029839709298974153, 0.04593711004794674]","[-48.685097477432926, 40.33032134191433, -0.14150887855013572]","[0.04482845407779543, -0.02763462883667552, 0.0894364430751124]","[0.04482845407779504, -0.03391125270847021, 0.0930246211737973]","[-48.685097477432926, 40.33032134191433, -0.14150887855013572]",Corrective,8060,HPMS,MP," Piston Changed and take advantage and inspection all modules soul change seat and valve discharge module 1 and 2. Mud Pump 1. We change piston center, take advantage and inspection all modules. soul we have to change seat and valve from module discharge 1 and 2, and all seals.",,,1.0,,1,6/28/2018 0:00,6/30/2017 4:01,6/30/2017 8:15,2/12/2009 0:00,,0 days 04:14:27,1,2,2,"[2, 1, 2]",46,3,1,1,3,1,1
156,2017-07-07 10:37:00,2220014165456," Order ORings to replace the ones we received as Loan fron another Competitor.----------. Order O-Rings Discharge Module. Order O-Rings to replace the ones we received as Loan fron another Competitor. Lawrence, 04 - O-Ring - P/N 2410031-440 - empréstimo da Queiroz Galvão - Received on KG1 under CM# 0095M000026942 - RT 315.902.071 As discussed please make RMS to request 4 EA to Payback Queiroz Galvao. After complete I will be adjusting our inventory to have these 3 in the Shelf as 1 was already used. "" From what we are expecting to receive for our stock replenishment? (3 EA on PO# 0001712837 / PL# 284063","[1.4051, 1.5367, 1.5582]","[1.4678, 1.5104, 1.5218]","[70.7998, -108.7055, 42.4057]",positive,positive,negative,"[1.4051, 1.4817, 1.6131]","[1.4678, 1.4707, 1.5615]","[70.7998, -108.7055, 42.4057]",positive,positive,negative,"[0.0948798811761474, -0.09487988117610378, 0.13141577986713696]","[0.03224815641027962, -0.03224815641026558, 0.09078863657559846]","[-159.69945271213857, -21.099919648015437, 60.71150329566998]","[0.09487988117614736, -0.0948798811761474, 0.021469131553965775]","[0.03224815641027901, -0.03224815641028023, 0.011377628359861792]","[-159.69945271213857, -21.099919648015437, 60.71150329566998]",Corrective,8060,HPMS,FEND," Order ORings to replace the ones we received as Loan fron another Competitor.----------. Order O-Rings Discharge Module. Order O-Rings to replace the ones we received as Loan fron another Competitor. Lawrence, 04 - O-Ring - P/N 2410031-440 - empréstimo da Queiroz Galvão - Received on KG1 under CM# 0095M000026942 - RT 315.902.071 As discussed please make RMS to request 4 EA to Payback Queiroz Galvao. After complete I will be adjusting our inventory to have these 3 in the Shelf as 1 was already used. "" From what we are expecting to receive for our stock replenishment? (3 EA on PO# 0001712837 / PL# 284063",,1.0,,,3,12/31/2017 0:00,7/7/2017 10:36,3/18/2018 21:34,7/4/2009 0:00,,0 days 00:01:18,3,8,0,"[0, 3, 8]",93,3,1,1,3,1,1
160,2017-07-15 20:43:00,2220014165758," Those titan valves are not connected and none of the steps are applicable.. SPM-S_PRV-HPMS_NOV-TITAN-BX_30-INSTRUMENTATION. NOTE: This PM is applicable to BX controller and pilot valve manifold box. 1. Examine all wiring for looseness using a spudger. 2. If fitted, test operation and alarms of components listed below for system redundancy: - Programmable Logic Controller (PLC) - Power Supplies - Gauges - Alarm Horn and Light 3. Visually examine pneumatic system components from pilot valve box to valve actuator listed below for leaks and damage: - Hoses - Tubing - Fittings NOTE: If water is found in","[1.4835, 1.5193, 1.4972]","[1.4835, 1.5186, 1.4979]","[227.9501, -116.3132, -107.137]",positive,positive,negative,"[1.4847, 1.5253, 1.49]","[1.4847, 1.524, 1.4913]","[227.9501, -116.3132, -107.137]",positive,positive,negative,"[0.030639323404437386, 0.0, -0.019943018458957323]","[0.03063932340443726, 0.0, -0.017454279228688193]","[-285.29495546250104, 167.6053182264695, -49.6686075624627]","[0.03063932340443747, -0.0022759602378517106, -0.00786189298289681]","[0.03063932340443726, -0.0022878027309550875, -0.006560595433579139]","[-285.29495546250104, 167.6053182264695, -49.6686075624627]",Prevent Maint,8060,HPMS,PRV," Those titan valves are not connected and none of the steps are applicable.. SPM-S_PRV-HPMS_NOV-TITAN-BX_30-INSTRUMENTATION. NOTE: This PM is applicable to BX controller and pilot valve manifold box. 1. Examine all wiring for looseness using a spudger. 2. If fitted, test operation and alarms of components listed below for system redundancy: - Programmable Logic Controller (PLC) - Power Supplies - Gauges - Alarm Horn and Light 3. Visually examine pneumatic system components from pilot valve box to valve actuator listed below for leaks and damage: - Hoses - Tubing - Fittings NOTE: If water is found in",those titan valves are not connected and none of the steps are applicable. ,1.0,,,3,6/25/2017 0:00,7/15/2017 20:41,7/15/2017 20:49,3/25/2013 0:00,,0 days 00:02:07,1,4,2,"[2, 1, 4]",96,3,1,1,3,1,1
163,2017-07-16 20:20:00,2220014165829," The pumps are inspected daily and during operations are closely monitored. All the items were checked and no leaks were noted no abnormal noise or vibration was reported and no damage or severe corrosion found. Pumpman and Derrickman are instructed to report any abnormality as soon as noticed.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.5685, 1.5614, 1.3701]","[1.5529, 1.5567, 1.3904]","[264.4848, -117.2338, -142.751]",neutral,neutral,neutral,"[1.5674, 1.5181, 1.4145]","[1.5522, 1.5123, 1.4355]","[264.4848, -117.2338, -142.751]",neutral,neutral,neutral,"[-0.04334293610342631, 0.09154069472730386, -0.07946250874755156]","[-0.03823625372645526, 0.06609649580401955, -0.06287709535018103]","[-257.1672119999784, 268.8024852408974, -19.699520526532467]","[-0.04483738169418449, 0.09220506728799155, -0.1675374758534707]","[-0.035941929525215265, 0.06985630087295377, -0.14941477769088418]","[-257.1672119999784, 268.8024852408974, -19.699520526532467]",Prevent Maint,8060,HPMS,FEND," The pumps are inspected daily and during operations are closely monitored. All the items were checked and no leaks were noted no abnormal noise or vibration was reported and no damage or severe corrosion found. Pumpman and Derrickman are instructed to report any abnormality as soon as noticed.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",no leaks were noted. ,,,1.0,2,7/18/2017 0:00,7/16/2017 20:19,7/16/2017 20:20,7/4/2009 0:00,,0 days 00:01:50,0,10,9,"[9, 0, 10]",86,2,2,2,2,2,2
169,2017-07-24 00:32:00,2220014166078," Visually inspected the fluid end no several condiction no leak checked all mud pumps.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.6188, 1.4998, 1.3814]","[1.5952, 1.4887, 1.416]","[172.9764, -74.0894, -94.3871]",neutral,neutral,neutral,"[1.6038, 1.4932, 1.403]","[1.5795, 1.4841, 1.4364]","[172.9764, -74.0894, -94.3871]",neutral,neutral,neutral,"[-0.0689801626341036, 0.13868843865272137, -0.055360775728625564]","[-0.06085289179016262, 0.09819406661401393, -0.028965136401002265]","[-168.73725057455732, 174.2156402226082, -17.55850923418077]","[-0.07811111807517826, 0.15942150295428487, -0.07768981828453295]","[-0.06661628942306164, 0.12385350185902849, -0.04411175342735806]","[-168.73725057455732, 174.2156402226082, -17.55850923418077]",Prevent Maint,8060,HPMS,FEND," Visually inspected the fluid end no several condiction no leak checked all mud pumps.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",the fluid end no several condiction no leak checked all mud pumps. ,,,1.0,2,7/25/2017 0:00,7/24/2017 0:28,7/24/2017 0:32,7/4/2009 0:00,,0 days 00:04:12,0,7,6,"[6, 0, 7]",54,2,2,2,2,2,2
170,2017-07-24 05:57:00,2220014166123," The items below it was checked by pumpman and no found nothing wrong.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.6063, 1.5249, 1.3689]","[1.5823, 1.5137, 1.404]","[178.4927, -81.2667, -92.726]",neutral,neutral,neutral,"[1.6094, 1.492, 1.3987]","[1.5846, 1.4827, 1.4328]","[178.4927, -81.2667, -92.726]",neutral,neutral,neutral,"[-0.07027922407730706, 0.1484303920154588, -0.054195102389563085]","[-0.06199889728526926, 0.10717341410030289, -0.027302370043083352]","[-181.63303733590448, 172.3523563445292, -16.099711932342228]","[-0.06305017404307106, 0.14950765147826878, -0.11277077835191011]","[-0.05133887027509539, 0.11326982118947872, -0.07867992770232786]","[-181.63303733590448, 172.3523563445292, -16.099711932342228]",Prevent Maint,8060,HPMS,FEND," The items below it was checked by pumpman and no found nothing wrong.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",no found nothing wrong. ,,,1.0,2,8/1/2017 0:00,7/24/2017 0:42,8/15/2017 1:30,7/4/2009 0:00,,0 days 05:15:11,0,5,5,"[5, 0, 5]",53,2,2,2,2,2,2
179,2017-08-09 14:01:00,2220014166800, Found high pressure (3500 PSI) in the pulsation dampener during the 30 days PM. Bleed the pressure to 2000 PSI that's required for the operations as per toolpusher. Fixed the gauge isolation valve.. Mud Pump #3 - Bleed pressure in the pulsation dampener. Breakdown Job,"[1.4432, 1.4665, 1.5904]","[1.4432, 1.4664, 1.5904]","[34.6314, -9.4388, -20.6926]",positive,positive,neutral,"[1.4418, 1.4739, 1.5844]","[1.4418, 1.4739, 1.5844]","[34.6314, -9.4388, -20.6926]",positive,positive,neutral,"[0.04966745676314758, -0.06676732379061856, 0.101956925985711]","[0.049667456763147134, -0.0667673237906192, 0.101956925991784]","[-39.27272563041062, 26.990110637930645, -17.39514106585966]","[0.04686149054390862, -0.06676732379062224, 0.11395919690942101]","[0.046861490543908195, -0.06676732379062307, 0.11403210778737015]","[-39.27272563041062, 26.990110637930645, -17.39514106585966]",Corrective,8060,HPMS,MP, Found high pressure (3500 PSI) in the pulsation dampener during the 30 days PM. Bleed the pressure to 2000 PSI that's required for the operations as per toolpusher. Fixed the gauge isolation valve.. Mud Pump #3 - Bleed pressure in the pulsation dampener. Breakdown Job,,,1.0,,1,8/9/2017 0:00,8/9/2017 0:00,8/9/2017 15:37,2/12/2009 0:00,,0 days 14:01:27,1,2,0,"[0, 1, 2]",44,2,1,1,2,1,1
183,2017-08-19 16:13:00,2220014167120, Isolated MP4 opened the valve and replaced gate and seat. Rebuilt the valve.. Repair master valve of mud pump #4. Replaced gate and seat of Master valve STD 4in x 7500 psi. ICN15018802.,"[1.2608, 1.5837, 1.6555]","[1.3366, 1.5458, 1.6177]","[5.5909, -8.5659, 7.475]",positive,positive,negative,"[1.2591, 1.593, 1.6479]","[1.3348, 1.5551, 1.6101]","[5.5909, -8.5659, 7.475]",positive,positive,negative,"[0.23017700289423618, -0.25166145121009326, 0.04421596808267051]","[0.15444730463337286, -0.1759317529495533, 0.04421596809036152]","[-1.509528271884907, 6.672222584030745, 18.622282444401257]","[0.22665155815724364, -0.2516614512108069, 0.0592923534428277]","[0.15092185989638035, -0.1759317529499452, 0.05938395941545682]","[-1.509528271884907, 6.672222584030745, 18.622282444401257]",Corrective,8060,HPMS,MP, Isolated MP4 opened the valve and replaced gate and seat. Rebuilt the valve.. Repair master valve of mud pump #4. Replaced gate and seat of Master valve STD 4in x 7500 psi. ICN15018802.,,,1.0,,1,8/19/2017 0:00,8/17/2017 6:01,8/19/2017 16:13,2/12/2009 0:00,,2 days 10:12:13,3,2,0,"[0, 3, 2]",35,3,1,1,3,1,1
